mutation_id;num_disposition;date_mutation;valeur_fonciere;local_id
27178;1;09/06/2020;85000;9982
27179;1;10/06/2020;85000;5636
27180;1;12/06/2020;85000;16388
27181;1;15/06/2020;85000;15841
27182;1;16/06/2020;85000;9198
27183;1;17/06/2020;85000;1967
27184;1;18/06/2020;85000;5076
27185;1;19/06/2020;85000;1891
27186;1;23/06/2020;85000;502
27187;1;24/06/2020;85000;6832
27188;1;25/06/2020;85000;2658
27189;1;26/06/2020;85000;9700
27190;1;29/06/2020;85000;3955
27191;1;30/06/2020;85000;4110
27192;1;27/02/2020;850000;12261
27193;1;14/05/2020;850000;11244
27194;1;19/05/2020;850000;13961
27195;1;20/05/2020;850000;4990
27196;1;17/06/2020;850000;9585
27197;1;06/03/2020;85083;4329
27198;1;30/04/2020;85100;5083
27199;1;29/06/2020;851300;9297
27200;1;13/03/2020;85158;5482
27201;1;10/02/2020;85200;6190
27202;1;03/04/2020;85200;1429
27203;1;03/01/2020;852000;2923
27204;1;05/03/2020;85215;4782
27205;1;03/03/2020;85250;905
27206;1;27/05/2020;85300;9017
27207;1;23/01/2020;853000;16652
27208;1;22/02/2020;85310;1050
27209;1;31/01/2020;853500;10640
27210;1;10/01/2020;85370;719
27211;1;07/02/2020;85400;3552
27212;1;18/02/2020;85400;479
27213;1;11/03/2020;85430;9178
27214;1;04/02/2020;85450;4463
27215;1;30/04/2020;85450;10647
27216;1;22/01/2020;854910;14971
27217;1;06/01/2020;85500;4932
27218;1;30/01/2020;85500;5746
27219;1;03/02/2020;85500;5623
27220;1;10/02/2020;85500;4460
27221;1;14/02/2020;85500;5935
27222;1;20/02/2020;85500;1101
27223;1;21/02/2020;85500;3521
27224;1;25/05/2020;85500;4463
27225;1;29/05/2020;85500;4021
27226;1;12/06/2020;85500;1113
27227;1;15/06/2020;85500;369
27228;1;17/06/2020;85500;3650
27229;1;25/06/2020;85500;461
27230;1;29/06/2020;85500;8284
27231;1;21/01/2020;855000;10553
27232;1;15/05/2020;855000;11805
27233;1;26/05/2020;855000;13002
27234;1;02/06/2020;855000;13693
27235;1;10/03/2020;855010;11833
27236;1;14/05/2020;855100;7119
